question,answer,generalPublicQuestion,surveyQuestions
"A 62-year-old woman is brought to the physician because of 6 months of progressive weakness in her arms and legs. During this time, she has also had difficulty swallowing and holding her head up. Examination shows pooling of oral secretions. Muscle strength and tone are decreased in the upper extremities. Deep tendon reflexes are 1+ in the right upper and lower extremities, 3+ in the left upper extremity, and 4+ in the left lower extremity. Sensation to light touch, pinprick, and vibration are intact. Which of the following is the most likely diagnosis?",Amyotrophic lateral sclerosis,"For the past 6 months, I've been having difficulty moving my arms and legs. It's also tough for me to swallow and hold my head up. The doctor saw that my saliva is collecting in my mouth. My muscles aren't as strong as they used to be. When the doctor tested my reflexes, they were different on each side. I can still feel touch, pinpricks, and vibrations. What might be causing these symptoms?","For the past 6 months, I've been having difficulty moving my arms and legs. It's also tough for me to swallow and hold my head up. The doctor saw that my saliva is collecting in my mouth. My muscles aren't as strong as they used to be. When the doctor tested my reflexes, they were different on each side. I can still feel touch, pinpricks, and vibrations. What might be causing these symptoms?A: Additional Information:
- Have you experienced any changes in your speech or voice?: Yes, I have noticed changes in my speech and voice.
- Do you have any history of autoimmune disorders or neurological conditions?: No
- Have you noticed any changes in your vision or eye movements?: Yes, I have noticed changes in my vision and eye movements.
- Have you had any recent infections or illnesses?: No
- Have you traveled to any new locations recently or been exposed to any toxins or chemicals?: No
- Have you experienced any numbness or tingling in your limbs?: Yes, I have experienced numbness and tingling in my limbs.
- Have you had any recent injuries or trauma to your head or neck?: No
- Have you noticed any changes in your bowel or bladder function?: Yes, I have noticed changes in my bowel and bladder function."
"A 4-year-old girl is brought to the physician with a 3-month history of progressive intermittent pain and swelling involving both knees, right ankle, and right wrist. The patient has been undergoing treatment with acetaminophen and ice packs, both of which relieved her symptoms. The affected joints feel ""stuck” and are difficult to move immediately upon waking up in the morning. However, the patient can move her joints freely after a few minutes. She also complains of occasional mild eye pain that resolves spontaneously. Five months ago, she was diagnosed with an upper respiratory tract infection that resolved without treatment. Vital signs are within normal limits. Physical examination shows swollen and erythematous joints, which are tender to touch. Slit-lamp examination shows an anterior chamber flare with signs of iris inflammation bilaterally. Laboratory studies show:
Blood parameters
Hemoglobin 12.6 g/dL
Leukocyte count 8,000/mm3
Segmented neutrophils 76%
Eosinophils 1%
Lymphocytes 20%
Monocytes 3%
Platelet count 360,000/mm3
Erythrocyte sedimentation rate 36 mm/hr
Serum parameters
Antinuclear antibodies 1:320
Rheumatoid factor negative
Which of the following is the most likely diagnosis?",Oligoarticular juvenile idiopathic arthritis,"For the past 3 months, I've been feeling pain and swelling in my knees, right ankle, and right wrist. When I wake up in the morning, these joints feel stiff and are hard to move, but they get better after a few minutes. Occasionally, my eyes hurt a little, but the pain goes away by itself. The doctor noticed that my joints are swollen, red, and tender. They also found signs of inflammation in my eyes. I had some blood tests done, but I'm not sure what the results mean. Can someone help me figure out what might be wrong with me?","For the past 3 months, I've been feeling pain and swelling in my knees, right ankle, and right wrist. When I wake up in the morning, these joints feel stiff and are hard to move, but they get better after a few minutes. Occasionally, my eyes hurt a little, but the pain goes away by itself. The doctor noticed that my joints are swollen, red, and tender. They also found signs of inflammation in my eyes. I had some blood tests done, but I'm not sure what the results mean. Can someone help me figure out what might be wrong with me?A: Additional Information:
- Have you experienced any recent weight loss or fatigue? Yes, I have been experiencing fatigue lately.
- Do you have a family history of autoimmune diseases like rheumatoid arthritis or lupus? Yes, my mother has rheumatoid arthritis.
- Have you noticed any changes in your skin, such as a rash or lesions? Yes, I have noticed a rash on my arms.
- Are you experiencing any gastrointestinal symptoms like abdominal pain or diarrhea? No
- Have you had any recent infections or illnesses that could be related to your current symptoms? No

Notes:
I do not have any blood test results at the moment."
"A 27-year-old woman presents to her primary care physician for foot pain. The patient states that she has pain in her foot and toes whenever she exerts herself or is at work. The patient is an executive at a medical device company and works 60 hours/week. She is currently training for a marathon. She has a past medical history of anxiety, constipation, and irritable bowel syndrome. Her current medications include clonazepam, sodium docusate, and hyoscyamine. Her temperature is 99.5°F (37.5°C), blood pressure is 100/60 mmHg, pulse is 50/min, respirations are 10/min, and oxygen saturation is 99% on room air. Cardiac and pulmonary exams are within normal limits. Examination of the lower extremity reveals 5/5 strength with 2+ reflexes. Palpation of the interdigital space between the third and fourth toes elicits pain and a clicking sound. Which of the following is the most likely diagnosis?",Intermetatarsal plantar nerve neuroma,"I have been feeling pain in my foot and toes, especially when I am moving around or working. I have a busy job as an executive and I am also getting ready for a marathon. I have had anxiety, constipation, and irritable bowel syndrome in the past, and I take medicine for them. My temperature is a little higher than normal, and my blood pressure and pulse are lower than usual. During the check-up, the doctor noticed that pressing between my third and fourth toes made me feel pain and hear a clicking sound. I'm wondering what could be causing this pain in my foot and toes.","I have been feeling pain in my foot and toes, especially when I am moving around or working. I have a busy job as an executive and I am also getting ready for a marathon. I have had anxiety, constipation, and irritable bowel syndrome in the past, and I take medicine for them. My temperature is a little higher than normal, and my blood pressure and pulse are lower than usual. During the check-up, the doctor noticed that pressing between my third and fourth toes made me feel pain and hear a clicking sound. I'm wondering what could be causing this pain in my foot and toes.A: Additional Information:
- Have you experienced any numbness or tingling in your foot or toes? Yes, I have been experiencing numbness and tingling in my toes.
- Do you notice any swelling, redness, or warmth in the affected area? I have noticed some swelling and warmth in the area.
- Have you recently increased your physical activity or changed your footwear? I have not changed my footwear recently, but I have increased my physical activity.
- Are there any specific movements or activities that worsen the pain in your foot and toes? Walking or standing for long periods worsens the pain.
- Have you had any recent injuries or traumas to your foot or toes? No, I have not had any recent injuries.
- Are you currently experiencing any other symptoms such as weakness or instability in the foot? I have been experiencing some weakness in my foot.
- Have you had any recent changes in weight or diet that may be relevant? There have been no recent changes in weight or diet.
- Are you currently taking any new medications or supplements that could be contributing to your symptoms? No, I am not taking any new medications or supplements."
"A 24-year-old man and his mother arrive for a psychiatric evaluation. She is concerned about his health and behavior ever since he dropped out of graduate school and moved back home 8 months ago. He is always very anxious and preoccupied with thoughts of school and getting a job. He also seems to behave very oddly at times such as wearing his winter jacket in summer. He says that he hears voices but he can not understand what they are saying. When prompted he describes a plot to have him killed with poison seeping from the walls. Today, his heart rate is 90/min, respiratory rate is 17/min, blood pressure is 110/65 mm Hg, and temperature is 36.8°C (98.2°F). On physical exam, he appears gaunt and anxious. His heart has a regular rate and rhythm and his lungs are clear to auscultation bilaterally. CMP, CBC, and TSH are normal. A urine toxicology test is negative. What is the most likely diagnosis?",Schizophrenia disorder,"I'm a 24-year-old man and my mom is worried about me. I've been feeling anxious and strange ever since I left school and came back home 8 months ago. I can't stop thinking about school and finding a job. Sometimes I do weird things like wearing my winter jacket in the summer. I hear voices but I don't know what they're saying. When asked, I think there's a plan to poison me through the walls. Today, the doctor checked me and said I look thin and nervous. My heart sounds normal and my lungs are clear. My blood tests and urine test are normal too. What could be wrong with me?","I'm a 24-year-old man and my mom is worried about me. I've been feeling anxious and strange ever since I left school and came back home 8 months ago. I can't stop thinking about school and finding a job. Sometimes I do weird things like wearing my winter jacket in the summer. I hear voices but I don't know what they're saying. When asked, I think there's a plan to poison me through the walls. Today, the doctor checked me and said I look thin and nervous. My heart sounds normal and my lungs are clear. My blood tests and urine test are normal too. What could be wrong with me?A: Additional Information:
- Have you experienced any changes in your sleep patterns, such as difficulty falling asleep or staying asleep? Yes, I have been having trouble falling asleep and staying asleep.
- Do you have trouble concentrating or making decisions? Yes, I have trouble concentrating and making decisions.
- Have you noticed a change in your appetite, either eating more or less than usual? I have noticed a change in my appetite, I have been eating less than usual.
- Are you experiencing any physical symptoms like headaches, stomach aches, or muscle tension? Yes, I have been experiencing headaches and muscle tension.
- Have you had any thoughts of harming yourself or others? No
- Have you ever been diagnosed with a mental health condition before? No"
"A 33-year-old woman presents to her primary care physician for a wellness check-up. She states that recently she has been feeling well other than headaches that occur occasionally, which improve with ibuprofen and rest. She has a past medical history of hypertension and headaches and is currently taking hydrochlorothiazide. Her temperature is 99.2°F (37.3°C), blood pressure is 157/108 mmHg, pulse is 90/min, respirations are 14/min, and oxygen saturation is 98% on room air. Physical exam reveals a young woman who appears healthy. A normal S1 and S2 are auscultated on cardiac exam, and her lungs are clear with good air movement bilaterally. From her previous visit, it was determined that she has an elevated aldosterone and low renin level. Laboratory values are ordered as seen below.

Serum:
Na+: 139 mEq/L
Cl-: 100 mEq/L
K+: 3.7 mEq/L
HCO3-: 29 mEq/L
BUN: 20 mg/dL
Creatinine: 1.1 mg/dL

Which of the following is the most likely diagnosis?",Primary hyperaldosteronism,"I have been feeling well lately, but I've been having occasional headaches that get better when I rest and take ibuprofen. I have high blood pressure and a history of headaches. I take hydrochlorothiazide for my blood pressure. The doctor listened to my heart and lungs and said everything sounds normal. Last time, they found that my aldosterone was high and renin was low. My recent lab results show normal sodium, chloride, potassium, and creatinine levels, but high bicarbonate and BUN levels. What could be causing these symptoms?","I have been feeling well lately, but I've been having occasional headaches that get better when I rest and take ibuprofen. I have high blood pressure and a history of headaches. I take hydrochlorothiazide for my blood pressure. The doctor listened to my heart and lungs and said everything sounds normal. Last time, they found that my aldosterone was high and renin was low. My recent lab results show normal sodium, chloride, potassium, and creatinine levels, but high bicarbonate and BUN levels. What could be causing these symptoms?I have not experienced any changes in my vision or visual disturbances during these headaches.
I have been experiencing nausea and sensitivity to light during these headaches.
I have not noticed any specific patterns or triggers for these headaches.
The headaches do not seem to be more frequent at a particular time of day or in specific situations.
There have been no recent changes in my medication regimen or dosage.
I have not experienced any dizziness, lightheadedness, or fainting spells along with these headaches."
"A 61-year-old woman comes to the physician because of a 1-week history of dizziness, nausea, vomiting, and repeated falls. Neurologic examination shows past-pointing on a finger-nose test. She has a broad-based gait. Ophthalmologic exam shows rhythmic leftward movement of the globes. A serum antibody assay is positive for anti-Yo antibodies directed at proteins expressed by Purkinje cells. This patient's condition is most likely associated with which of the following tumors?",Breast cancer,"I have been feeling dizzy, nauseous, and vomiting for the past week. I have also been falling down a lot. When the doctor checked me, I had trouble touching my finger to my nose and my walking was unsteady. They also noticed that my eyes were moving rhythmically to the left. My blood test showed positive for anti-Yo antibodies that target certain brain cells. What type of tumor is most likely causing these symptoms?","I have been feeling dizzy, nauseous, and vomiting for the past week. I have also been falling down a lot. When the doctor checked me, I had trouble touching my finger to my nose and my walking was unsteady. They also noticed that my eyes were moving rhythmically to the left. My blood test showed positive for anti-Yo antibodies that target certain brain cells. What type of tumor is most likely causing these symptoms?A: Additional Information:
Have you experienced any changes in vision or hearing? No
Have you noticed any weakness or numbness in your limbs? No
Have you had any headaches or changes in your speech? No
Have you experienced any memory problems or confusion? No
Have you had any recent unexplained weight loss? No
Do you have a history of cancer or any autoimmune disorders? No"
"An 11-month-old boy is brought to the physician for the evaluation of recurrent otitis media since birth. The patient’s immunizations are up-to-date. He is at the 5th percentile for height and weight. Physical examination shows multiple petechiae and several eczematous lesions over the scalp and extremities. The remainder of the examination reveals no abnormalities. Laboratory studies show a leukocyte count of 9,600/mm3 (61% neutrophils and 24% lymphocytes), a platelet count of 29,000/mm3, and an increased serum IgE concentration. Which of the following is the most likely diagnosis?",Wiskott-Aldrich syndrome,"I am an 11-month-old boy who has been having ear infections often since I was born. I have received all my vaccinations on time. I am a bit smaller than other kids my age. During my recent visit to the doctor, they noticed small red or purple spots on my skin and some itchy patches on my head and arms. Everything else during my check-up was okay. Some of the numbers in my blood tests were not normal. I wonder what could be causing all of this?","I am an 11-month-old boy who has been having ear infections often since I was born. I have received all my vaccinations on time. I am a bit smaller than other kids my age. During my recent visit to the doctor, they noticed small red or purple spots on my skin and some itchy patches on my head and arms. Everything else during my check-up was okay. Some of the numbers in my blood tests were not normal. I wonder what could be causing all of this?A: Additional Information:
- Have you experienced any fever or unusual tiredness recently? Yes, I have been feeling more tired than usual.
- Are the red or purple spots flat or raised? Do they blanch when pressed? The spots are raised and do not blanch when pressed.
- Do the itchy patches on your head and arms have any specific appearance or texture? The itchy patches are red and scaly.
- Have you had any recent changes in your diet or exposure to new environments? No, there have been no recent changes in my diet or exposure to new environments.
- Are there any other symptoms such as cough, runny nose, or diarrhea that you have been experiencing? No, I have not experienced any cough, runny nose, or diarrhea."
"A 4-year-old boy presents to his pediatrician for severe developmental delay. On exam he is noted to have macroorchidism, hypertelorism, large protruding ears, a large jaw, and a long thin face. Suspicious of what the diagnosis may be, the pediatrician orders a PCR and DNA sequencing. The results reveal an expansion of 250 repeats of CGG. What is the diagnosis of the boy?",Fragile X syndrome,"I have a 4-year-old boy who is having trouble with his development. He has some physical features like big ears, a big jaw, and a long, thin face. The doctor also noticed that his testicles are larger than usual. The doctor did some tests and found out that he has a certain number of repeats of CGG in his DNA. Can you help me figure out what might be going on with him?","I have a 4-year-old boy who is having trouble with his development. He has some physical features like big ears, a big jaw, and a long, thin face. The doctor also noticed that his testicles are larger than usual. The doctor did some tests and found out that he has a certain number of repeats of CGG in his DNA. Can you help me figure out what might be going on with him?A: Additional Information:
- My son has experienced delays in reaching developmental milestones such as walking and talking.
- He is showing signs of intellectual disability and learning difficulties.
- I have noticed behavioral issues and challenges in his daily activities.
- There is no known family history of genetic disorders or conditions.
- Apart from the mentioned features, there are no other physical or medical concerns at this time."
"A 25-year-old woman presents with abdominal pain and discomfort for the past 3 days. She was diagnosed with irritable bowel syndrome (IBS) a couple of years ago, managed until recently with imipramine, psyllium, and loperamide. 5 days ago, because she had developed alternating diarrhea and constipation, bloating, and abdominal pain on her medication, she was started on alosetron. Her current temperature is 39.0°C (102.2°F), the heart rate is 115/min, the blood pressure is 90/60 mm Hg and the respiratory rate is 22/min. Abdominal examination shows diffuse tenderness to palpation with guarding but no rebound. Bowel sounds are hypoactive on auscultation. A fecal occult blood test is positive and laboratory tests show her white cell count to be 15,800/µL. Arterial blood gas (ABG) analysis reveals a metabolic acidosis Which of the following is the most likely diagnosis in this patient?",Ischemic colitis,"I have been feeling stomach pain and discomfort for the past 3 days. A few years ago, I was told I have irritable bowel syndrome (IBS). To manage it, I take imipramine, psyllium, and loperamide. Lately, I've been having alternating diarrhea and constipation, bloating, and more stomach pain even with my medication. I started taking alosetron 5 days ago. My temperature is higher than normal, my heart rate is faster, and my stomach hurts when touched. A test showed blood in my stool, and my white cell count is higher than usual. The test also showed that I have a metabolic acidosis. I wonder what could be causing all these symptoms in me?","I have been feeling stomach pain and discomfort for the past 3 days. A few years ago, I was told I have irritable bowel syndrome (IBS). To manage it, I take imipramine, psyllium, and loperamide. Lately, I've been having alternating diarrhea and constipation, bloating, and more stomach pain even with my medication. I started taking alosetron 5 days ago. My temperature is higher than normal, my heart rate is faster, and my stomach hurts when touched. A test showed blood in my stool, and my white cell count is higher than usual. The test also showed that I have a metabolic acidosis. I wonder what could be causing all these symptoms in me?A: Additional Information:
- Have you experienced any unintentional weight loss recently? Yes, I have experienced some unintentional weight loss.
- Are you experiencing any nausea or vomiting along with the stomach pain? Yes, I am experiencing nausea and vomiting along with the stomach pain.
- Have you noticed any changes in the color or consistency of your stool? Yes, there have been changes in the color and consistency of my stool.
- Do you have a history of any other gastrointestinal conditions besides IBS? No, I do not have a history of any other gastrointestinal conditions besides IBS.
- Have you traveled recently or been in contact with anyone who is sick? No, I have not traveled recently or been in contact with anyone who is sick."
"A 4-month-old is noted to have a grade 3/6, harsh, systolic ejection murmur heard at the left upper sternal border. The mother reports that the child's lips occasionally turn blue during feeding. A cardiologist recommends surgery. Later, the physician remarks that the infant's congenital abnormality was related to a failure of neural crest cell migration. Prior to surgery, which of the following was a likely finding?",Pulmonic stenosis,"Before the surgery, the doctor might have noticed that the baby with the heart problem was having trouble breathing, getting tired easily, or not growing as well as expected. The baby might have had a bluish tint to their skin or lips, which can happen when the heart is not pumping enough oxygen-rich blood to the body. The doctor may have also heard abnormal sounds when listening to the baby's heart with a stethoscope. These signs could have indicated that the baby had a heart problem that needed to be fixed with surgery.","Before the surgery, the doctor might have noticed that the baby with the heart problem was having trouble breathing, getting tired easily, or not growing as well as expected. The baby might have had a bluish tint to their skin or lips, which can happen when the heart is not pumping enough oxygen-rich blood to the body. The doctor may have also heard abnormal sounds when listening to the baby's heart with a stethoscope. These signs could have indicated that the baby had a heart problem that needed to be fixed with surgery.A: Additional Information:
- Did the baby have any other symptoms such as sweating excessively during feeds, poor feeding, or difficulty gaining weight? Yes, I experienced sweating excessively during feeds and had difficulty gaining weight.
- Were there any episodes of sudden crying, irritability, or lethargy in the baby? Yes, I experienced episodes of sudden crying and irritability.
- Did the baby have any previous heart conditions or surgeries? No, I did not have any previous heart conditions or surgeries.
- Were there any specific diagnostic tests done to confirm the heart problem, such as an echocardiogram or ECG? Yes, an echocardiogram was done to confirm the heart problem.
- Were there any specific concerns or complications mentioned by the doctor regarding the heart surgery? The doctor mentioned concerns about potential complications during the heart surgery."
